isolabel_ext,synonym
BR-AL-Arapiraca,br;alagoas;arapiraca
BR-AL-Arapiraca,br;al;arapiraca
BR-AL-Arapiraca,br-arapiraca
BR-AL-Arapiraca,co-a-air
BR-AL-Atalaia,br;alagoas;atalaia
BR-AL-Atalaia,br-2700409
BR-AL-Atalaia,br;al;atl
BR-AL-Atalaia,co-a-atl
BR-AL-Atalaia,br-al-atl
BR-AL-Atalaia,br;al;atalaia
BR-AL-BarraSantoAntonio,co-a-bna
BR-AL-BarraSantoAntonio,br;al;barra.santo.antonio
BR-AL-BarraSantoAntonio,br;al;bna
BR-AL-BarraSantoAntonio,br-barrasantoantonio
BR-AL-BarraSantoAntonio,br;alagoas;barra.santo.antonio
BR-AL-BarraSantoAntonio,br-2700508
BR-AL-BarraSantoAntonio,br-al-bna
BR-AL-BarraSaoMiguel,br;alagoas;barra.sao.miguel
BR-AL-BarraSaoMiguel,br;al;barra.sao.miguel
BR-AL-BarraSaoMiguel,br-al-bdg
BR-AL-BarraSaoMiguel,br;al;bdg
BR-AL-BarraSaoMiguel,br-2700607
BR-AL-BarraSaoMiguel,co-a-bdg
BR-AL-Batalha,br-al-bth
BR-AL-Batalha,br;alagoas;batalha
BR-AL-Batalha,br-2700706
BR-AL-Batalha,br;al;batalha
BR-AL-Batalha,br;al;bth
BR-AL-Batalha,co-a-bth
BR-AL-Belem,br;al;belem
BR-AL-Belem,br;al;blx
BR-AL-Belem,br-al-blx
BR-AL-Belem,br-2700805
BR-AL-Belem,co-a-blx
BR-AL-Belem,br;alagoas;belem
BR-AL-BeloMonte,br-al-bln
BR-AL-BeloMonte,br-belomonte
BR-AL-BeloMonte,br;al;bln
BR-AL-BeloMonte,br-2700904
BR-AL-BeloMonte,co-a-bln
BR-AL-BeloMonte,br;alagoas;belo.monte
BR-AL-BeloMonte,br;al;belo.monte
BR-AL-BocaMata,br;al;bod
BR-AL-BocaMata,br;alagoas;boca.mata
BR-AL-BocaMata,br-2701001
BR-AL-BocaMata,co-a-bod
BR-AL-BocaMata,br-bocamata
BR-AL-BocaMata,br;al;boca.mata
BR-AL-BocaMata,br-al-bod
BR-AL-Branquinha,br-branquinha
BR-AL-Branquinha,br-al-bqh
BR-AL-Branquinha,br;alagoas;branquinha
BR-AL-Branquinha,br;al;bqh
BR-AL-Branquinha,br-2701100
BR-AL-Branquinha,co-a-bqh
BR-AL-Branquinha,br;al;branquinha
BR-AL-Cacimbinhas,br-al-cbh
BR-AL-Cacimbinhas,br-2701209
BR-AL-Cacimbinhas,br;al;cbh
BR-AL-Cacimbinhas,br-cacimbinhas
BR-AL-Cacimbinhas,br;al;cacimbinhas
BR-AL-Cacimbinhas,br;alagoas;cacimbinhas
BR-AL-Cacimbinhas,co-a-cbh
BR-AL-Cajueiro,br;al;cajueiro
BR-AL-Cajueiro,br-cajueiro
BR-AL-Cajueiro,br-2701308
BR-AL-Cajueiro,co-a-cjo
BR-AL-Cajueiro,br-al-cjo
BR-AL-Cajueiro,br;alagoas;cajueiro
BR-AL-Cajueiro,br;al;cjo
BR-AL-Campestre,br-2701357
BR-AL-Campestre,br;alagoas;campestre
BR-AL-Campestre,br;al;campestre
