isolabel_ext,status,cover,overlay
BR-AL-EstrelaAlagoas,0,7772p 7772y 7772z 7773k 7773p 7773s 7773t 7773y 7773z 7778n 7779j 7779k 7779n 7779p 7779s 7779t 7779y 7779z,
BR-AL-FeiraGrande,0,7759n 7759p 7759s 7759t 7759y 7759z 775bj 775bn 775bp 775cj 775ck 775cs 775ct 775ej,
BR-AL-FelizDeserto,0,75ffp 75ffs 75fft 75ffy 75ffz 7755j 7755n 80aas 80aat,
BR-AL-Flexeiras,0,8227y 8227z 822dn 822dp 822dt 822dy 822dz 822fj 822fk 822fn 822fp 822fs 8232s 8232t 8238j 8238k 8238s 8238t 823aj 823ak 823as,
BR-AL-GirauPonciano,0,7758p 7758s 7758t 7758y 7758z 7759s 7759t 775aj 775ak 775an 775ap 775as 775at 775ay 775az 775bj 775bk 775bs 775bt 7765n 7765p 7770j 7770k 7770n 7770p 7770s,
BR-AL-Ibateguara,0,822ft 8284n 8284p 8284y 8284z 8285j 8285k 8285n 8285p 8285s 8285t 8285y 8285z 8286n 8287j 8287k 8287n 8287p,
BR-AL-Igaci,0,7770y 7771p 7771t 7771y 7771z 7772n 7772p 7773j 7773k 7773n 7773p 7773s 7774k 7774s 7774t 7774y 7776j 7776k 7776n 7776p,
BR-AL-IgrejaNova,0,7751j 7751k 7751n 7751p 7751s 7751t 7751y 7751z 7753j 7753n 7753p 7753z 7754s 7754t 7754y 7754z 7756j 7756k 7756n 7756p 7756s 7756z,
BR-AL-Inhapi,0,773cy 773dk 773dp 773ds 773dt 773dy 773dz 773ek 773en 773ep 773es 773et 773ey 773ez 773fj 773fk 773fn 773fp 773fs 773ft 773fy 773fz,
BR-AL-JacareHomens,0,774et 7761n 7761p 7761z 7764j 7764k 7764p 7764s 7764t 7764y 7764z 7766j,
BR-AL-Jacuipe,0,8291y 8291z 8293n 8293p 8293z 8294k 8294p 8294s 8294t 8294y 8294z 8296j 8296k 8296n 8296p 8296s,
BR-AL-Japaratinga,0,823ep 823ey 823ez 823fj 823fk 823fs 823ft 823fz,
BR-AL-Jaramataia,0,774fy 7765j 7765k 7765n 7765p 7765s 7765z 7770k 7770s 7770t,
BR-AL-JequiaPraia,0,8203p 8203t 8203y 8203z 8206s 8206t 8208j 8208k 8208n 8208p 8208y 8208z 8209j 8209k 8209n 8209p 8209s 8209t 8209z 820an 820bj 820cj 820ck,
BR-AL-JoaquimGomes,0,822fk 822fp 822fs 822ft 822fy 822fz 823ak 823as 823at 823ay 823az 8285j 8285n 8285p 8285z 8290j 8290k 8290n,
BR-AL-Jundia,0,8291j 8291k 8291n 8291p 8291s 8291t 8291y 8291z 8294k 8294s,
BR-AL-Junqueiro,0,775cn 775cp 775cy 775cz 775dj 775dk 775ds 775dt 775dy 775dz 775en 775fj 775fk 775fn 775fp 8208s,
BR-AL-LagoaCanoa,0,7759t 775bj 775bk 775bn 775bp 775bs 775bt 775bz,
BR-AL-LimoeiroAnadia,0,775cy 775ej 775ek 775en 775ep 775es 775et 775ey 775ez 775fj 775fk 775fp 775fs 775ft 775fy 775fz 7774j 7774n 7775j 7775n,
BR-AL-Maceio,0,820fy 820fz 821as 821at 8225n 8225p 8225y 8225z 8227n 8227p 8227z 8230j 8230k 8230p 8230s 8230t 8230y 8230z 8231s 8231t 8232j 8232k 8232n 8232p 8232s 8232t 8232z 8233j,
BR-AL-MajorIsidoro,0,7764y 7765s 7765t 7765y 7765z 7766n 7766p 7766z 7767j 7767k 7767n 7767p 7767s 7767t 7767y 7767z 776dj 776dn 7770s 7770t 7770y 7772j 7772k 7772n,
BR-AL-MarVermelho,0,7777j 7777k 7777n 7777p 7777s 7777z 8222j 8222k 8222s,
BR-AL-Maragogi,0,823fs 823ft 823fy 823fz 8294n 8294p 8294y 8294z 8295j 8295k 8295n 8295p 8295s 8295t 8295y 8295z 8296n 8297j 82c0k 82c0s 82c0t,
BR-AL-Maravilha,0,773fn 7768y 7769t 776aj 776ak 776an 776ap 776ay 776az 776bj 776bk 776bn 776bp 776bs 776bt 776by 776bz 776ek 776es 776et,
BR-AL-MarechalDeodoro,0,820cy 820dt 820ej 820ek 820en 820ep 820es 820et 820ey 820ez 820fj 820fk 820fp 820fs 820ft 820fy 820fz 8224j 8224n 8225j,
BR-AL-Maribondo,0,7775p 7775y 7775z 7777n 8220k 8220p 8220s 8220t 8220y 8220z 8221k 8222j 8222n 8222p,
BR-AL-MataGrande,0,773v 779h 779m 779v 77ch,
BR-AL-MatrizCamaragibe,0,8239t 8239y 823at 823ay 823az 823bj 823bk 823bn 823bp 823bs 823bt 823by 823bz 823ct 823ej 8290j 8290n 8291j,
BR-AL-Messias,0,8227s 8227t 8227y 8227z 822dj 822dk 822dn 822dp 822ds 822dz,
BR-AL-MinadorNegrao,0,7778j 7778k 7778n 7778p 7778s 7778t 7778y 7778z 7779j 7779k 7779s 7779t 777an,
BR-AL-Monteiropolis,0,7761s 7761t 7761y 7761z 7763n 7763p 7764s 7764t 7766j,
BR-AL-Murici,0,8226t 8226y 8227s 8227t 8229z 822cj 822ck 822cn 822cp 822cs 822ct 822cy 822cz 822dj 822dk 822dn 822dp 822ds 822dt 822dy 822dz 822en 822ep 822fj 822fk,
BR-AL-NovoLino,0,823bt 8290k 8290n 8290p 8290s 8290y 8290z 8291j 8291k 8291s 8291t 8292n 8293j 8293k,
BR-AL-OlhoAguaCasado,0,7733p 7733y 7733z 7736k 7736s 7736t 7736y 7736z 7739n 7739p 773cj 773ck 773cn 773cp 773cs 773ct 773cy 773cz 773ds 773en,
BR-AL-OlhoAguaFlores,0,7763k 7763n 7763p 7763s 7763y 7763z 7764t 7764y 7766j 7766k 7766n 7766p 7766s 7766t,
BR-AL-OlhoAguaGrande,0,7752n 7752p 7752s 7752t 7752y 7752z 7753j 7753k 7753s 7753t,
BR-AL-Olivenca,0,7763y 7764y 7766j 7766k 7766n 7766p 7766s 7766t 7766y 7766z 7767k 7767s 7767t 776cj 776cn,
BR-AL-OuroBranco,0,776ay 776bs 776bt 776by 776bz 776et 77c1j 77c1k 77c1n 77c1p 77c1s 77c1t 77c1z 77c4j,
BR-AL-Palestina,0,774by 774et 7761j 7761k 7761n 7761p 7761z 7764j,
BR-AL-PalmeiraIndios,0,7773p 7773y 7773z 7776k 7776n 7776p 7776s 7776t 7776y 7776z 7777k 7777s 7777t 7779n 7779p 7779y 7779z 777cj 777ck 777cn 777cp 777cs 777dj,
BR-AL-PaoAcucar,0,773m 774r 774v 776h,
BR-AL-Pariconha,0,7739t 773ak 773an 773ap 773as 773at 773ay 773az 773bj 773bk 773bs 773bt 7790j 7790n 7791j,
BR-AL-Paripueira,0,8231t 8232n 8232p 8232z 8233j 8233k 8233s,
BR-AL-PassoCamaragibe,0,8233y 8236t 8239k 8239n 8239p 8239s 8239t 8239y 8239z 823ap 823az 823bj 823bk 823bs 823cj 823ck 823cs,
BR-AL-PauloJacinto,0,7777s 7777t 7777y 7777z 777dj 777dn 777dp 777dz 8228k 8228s,
BR-AL-Penedo,0,75fr 75fv 775h 775m,
BR-AL-Piacabucu,0,75fcy 75fdk 75fds 75fdt 75fdy 75fdz 75fen 75fep 75fez 75ffj 75ffk 75ffn 75ffp 75ffs 75ffz 80aak,
BR-AL-Pilar,0,820by 820et 8221j 8221k 8221n 8221p 8221z 8224j 8224k 8224n 8224p 8224s 8224t 8224y 8224z 8225j 8225k,
BR-AL-Pindoba,0,7777p 8222j 8222k 8222n 8222p 8222s 8222z,
BR-AL-Piranhas,0,7734t 7734y 7735s 7735t 7736j 7736k 7736n 7736p 7736s 7736t 7736y 7736z 7737j 7737k 7737s 7737t 773cn 773cp 773cy 773cz 773dj 773dk 773ds 773dt,
BR-AL-PocoTrincheiras,0,773fn 7768t 7768y 7768z 7769s 7769t 7769y 7769z 776aj 776an 776bj 776bn 776bp 776cs 776ct 776ej 776ek 776en 776ep 776es 776ez,
BR-AL-PortoCalvo,0,823bt 823by 823bz 823en 823ep 823es 823et 823ey 823ez 823fj 823fk 823ft 8291j 8291n 8291p 8294j 8294k 8294n 8294p 8294s 8294t 8294z 8295j,
BR-AL-PortoPedras,0,8239y 823bn 823bp 823by 823bz 823ct 823cy 823cz 823dt 823ej 823ek 823en 823ep 823es 823et 823ez 823fj,
BR-AL-PortoRealColegio,0,7750p 7750s 7750t 7750y 7750z 7751j 7751k 7751s 7751t 7752n 7753j 7753k 7753n 7753p 7753s 7753t 7753y 7753z 7759j 7759n,
BR-AL-Quebrangulo,0,7777t 777ck 777cn 777cp 777cs 777cy 777cz 777dj 777dk 777dn 777dp 777ds 777dt 777dy 777dz 777fj 777fn 8228s 8228t 822aj,
BR-AL-RioLargo,0,8224p 8224y 8224z 8225k 8225s 8225t 8225y 8225z 8226n 8226p 8226y 8226z 8227j 8227k 8227n 8227p 8227s 8227t 8227z,
BR-AL-Roteiro,0,8209n 8209p 8209y 8209z 820cj 820ck 820cn 820cp 820cs 820ct 820cz,
BR-AL-SantaLuziaNorte,0,8225j 8225k 8225n 8225p,
BR-AL-SantanaIpanema,0,7763y 7766t 7766y 7768z 7769j 7769k 7769n 7769p 7769s 7769z 776cj 776ck 776cn 776cp 776cs 776ct 776cy 776cz 776dk 776ds 776dt 776ej 776en 776fj 776fk,
BR-AL-SantanaMundau,0,822an 822ap 822ay 822az 822bj 822bk 822bp 822bs 822bt 822by 822bz 8281j 8281k 8281n 8281p,
BR-AL-SaoBras,0,7747n 7747p 7747z 7750t 7750y 7752j 7752k 7752n 7752p 7752s 7752z,
BR-AL-SaoJoseLaje,0,8281n 8281p 8281y 8281z 8284j 8284k 8284n 8284p 8284s 8284t 8284y 8284z 8286j 8286n,
