dust_b16h,dust_city,dust_city_label,merge_score,receptor_b16h,receptor_city
dbe1P,4109203,BR-PR-Guaraci,1000,dbe1P,4111902
dbe4T,4111902,BR-PR-Jaguapita,497,dbe4T,4109203
dbecY,3532207,BR-SP-Narandiba,336,dbecY,4105102
dbf5S,4121307,BR-PR-RanchoAlegre,649,dbf5S,4126405
dc14T,4209508,BR-SC-Laurentino,1000,dc14T,4214805
dc18N,4215307,BR-SC-Salete,310,dc18N,4219408
dc3dK,4215802,BR-SC-SaoBentoSul,345,dc3V,4215000
dc41S,4201257,BR-SC-Apiuna,331,dc41S,4214102
dc44Y,4202701,BR-SC-Botuvera,369,dc44Y,4202909
dc48T,4207502,BR-SC-Indaial,280,dc48T,4215109
dc52S,4202008,BR-SC-BalnearioCamboriu,194,dc52S,4203204
dc58S,4212502,BR-SC-Penha,614,dc58S,4211306
dc5aJ,4211306,BR-SC-Navegantes,631,dc5aJ,4212809
dc5aN,4212809,BR-SC-BalnearioPicarras,225,dc5aN,4212502
dcb7Y,4100400,BR-PR-AlmiranteTamandare,984,dcb7Y,4111258
dcc9J,4114302,BR-PR-Mandirituba,313,dccR,4125506
dcd0S,4208450,BR-SC-Itapoa,297,dcdH,4109609
dce1S,4100400,BR-PR-AlmiranteTamandare,290,dce1S,4106902
dce3Y,4105805,BR-PR-Colombo,453,dceH,4103107
dce5K,4120804,BR-PR-QuatroBarras,285,dceM,4116208
dce6J,4105805,BR-PR-Colombo,817,dceM,4103107
de82S,4124301,BR-PR-SantoAntonioParaiso,410,de82S,4126009
de85Z,4112900,BR-PR-JundiaiSul,355,de85Z,4106100
de8cT,4100103,BR-PR-Abatia,738,de8cT,4123105
de92J,4120705,BR-PR-Quatigua,381,de92J,4109005
de9fK,3551207,BR-SP-Sarutaia,359,de9fK,3538808
dea5N,4101101,BR-PR-Andira,262,dea5N,4103602
deb3Z,3543204,BR-SP-RibeiraoSul,294,debH,3550506
debfP,3527504,BR-SP-Lucianopolis,733,debV,3546405
dec9T,3511409,BR-SP-CerqueiraCesar,476,dec9T,3538808
dee2K,3500550,BR-SP-AguasSantaBarbara,661,deeH,3546405
dee2T,3500550,BR-SP-AguasSantaBarbara,761,deeH,3546405
deecT,3519253,BR-SP-Iaras,276,deeV,3500709
df6aS,3513009,BR-SP-Cotia,238,df6aS,3522208
df83J,3554003,BR-SP-Tatui,876,df8H,3522307
df95N,3515004,BR-SP-EmbuArtes,304,df95N,3513009
df96S,3508405,BR-SP-Cabreuva,230,df9M,3523909
df97Z,3508405,BR-SP-Cabreuva,346,df97Z,3539103
df9bS,3520509,BR-SP-Indaiatuba,999,df9bS,3545209
df9bY,3545209,BR-SP-Salto,509,df9bY,3520509
dfb0J,3514908,BR-SP-EliasFausto,979,dfb0J,3510401
dfb4J,3531803,BR-SP-MonteMor,377,dfbM,3509502
dfc0N,3515004,BR-SP-EmbuArtes,467,dfc0N,3552809
dfcaZ,3525201,BR-SP-Jarinu,999,dfcaZ,3523404
dfd1P,3518305,BR-SP-Guararema,980,dfd1P,3506607
dfd2Z,3524402,BR-SP-Jacarei,219,dfd2Z,3518305
dfe0J,3556701,BR-SP-Vinhedo,861,dfe0J,3523404
dfe7Z,3536802,BR-SP-PedraBela,304,dfe7Z,3169109
dfedN,3125101,BR-MG-Extrema,306,dfedN,3133600
dff5S,3548203,BR-SP-SantoAntonioPinhal,937,dff5S,3531704
dff8P,3143807,BR-MG-Munhoz,558,dff8P,3133600
dff9S,3119906,BR-MG-CorregoBomJesus,437,dff9S,3110608
eaacT,3538501,BR-SP-Piquete,281,eaacT,3121100
eab3Z,3552007,BR-SP-Silveiras,501,eab3Z,3503505
eabaY,3541901,BR-SP-Queluz,408,eabaY,3526605
eaebS,3306305,BR-RJ-VoltaRedonda,235,eaeR,3300407
eaf6J,3301702,BR-RJ-DuqueCaxias,707,eaf6J,3305109
eb9aY,3305505,BR-RJ-Saquarema,699,eb9R,3300209
eba4T,3304300,BR-RJ-RioBonito,202,eba4T,3305752
ebb9J,3301306,BR-RJ-CasimiroAbreu,543,ebbR,3305604
