dust_b16h,dust_city,dust_city_label,merge_score,receptor_b16h,receptor_city
7d5dN,2513943,BR-PB-SaoDomingosCariri,798,7d5V,2514008
7d69S,2510808,BR-PB-Patos,315,7d69S,2513802
7d75P,2510659,BR-PB-Parari,417,7d75P,2513851
7d7cS,2513406,BR-PB-SantaLuzia,482,7d7cS,2507804
7db1K,2409407,BR-RN-PauFerros,388,7db1K,2407302
7dbcS,2413607,BR-RN-SeverianoMelo,572,7dbcS,2404903
7dbdJ,2414902,BR-RN-Vicosa,489,7dbdJ,2410702
7dc7P,2412104,BR-RN-SaoJoaoSabugi,521,7dcM,2402006
7dcdK,2405603,BR-RN-JardimPiranhas,254,7dcdK,2414308
7dd0J,2514909,BR-PB-SaoMamede,538,7dd0J,2517100
7dd7T,2402402,BR-RN-CarnaubaDantas,512,7ddM,2400109
7ddcN,2412401,BR-RN-SaoJoseSerido,383,7ddcN,2403004
7de0S,2410603,BR-RN-RafaelGodeiro,767,7de0S,2400604
7e39K,2301257,BR-CE-Ararenda,261,7e3R,2305654
7ea4J,2303402,BR-CE-Carnaubal,711,7ea4J,2312304
7eb3S,2309003,BR-CE-Mucambo,898,7ebH,2312908
7eb5N,2304905,BR-CE-Groairas,870,7ebM,2312205
7ebdZ,2308203,BR-CE-Meruoca,876,7ebV,2312908
7f56K,2400703,BR-RN-AltoRodrigues,292,7f56K,2402501
7f8fP,2305233,BR-CE-Horizonte,388,7f8fP,2301000
8220P,2700409,BR-AL-Atalaia,384,8220P,2704807
8223Y,2701308,BR-AL-Cajueiro,326,8223Y,2701704
822dS,2705200,BR-AL-Messias,619,822dS,2705507
8232S,2702801,BR-AL-Flexeiras,735,8232S,2704302
823aZ,2703809,BR-AL-JoaquimGomes,286,823aZ,2705101
8282Z,2613206,BR-PE-SaoJoao,794,8282Z,2601003
8292T,2610004,BR-PE-Palmares,705,8292T,2604205
8294K,2703502,BR-AL-Jacuipe,485,8294K,2707305
829dS,2611804,BR-PE-Ribeirao,452,829dS,2605905
82b2N,2601904,BR-PE-Bezerros,279,82b2N,2612000
82b9P,2610509,BR-PE-Passira,411,82b9P,2606408
82bfK,2608503,BR-PE-LagoaItaenga,602,82bfK,2605400
8810Z,2517001,BR-PB-Umbuzeiro,326,8810Z,2604155
8814T,2609709,BR-PE-Orobo,349,8814T,2602209
8817Y,2600708,BR-PE-Alianca,696,8817Y,2616308
881cT,2501302,BR-PB-Aroeiras,319,881cT,2509909
881eJ,2509404,BR-PB-Mogeiro,203,881eJ,2507200
881fN,2507903,BR-PB-Juripiranga,542,881fN,2506905
882fZ,2505352,BR-PB-Damiao,369,882V,2501609
8832J,2509339,BR-PB-Matinhas,766,8832J,2508307
8832S,2508307,BR-PB-LagoaSeca,246,8832S,2515104
8860Z,2515971,BR-PB-Sobrado,936,8860Z,2515302
8862Y,2504900,BR-PB-CruzEspiritoSanto,295,8862Y,2515302
8863P,2504900,BR-PB-CruzEspiritoSanto,733,886H,2513703
8890J,2503506,BR-PB-CacimbaDentro,190,8890J,2504157
8890N,2516003,BR-PB-Solanea,272,8890N,2504157
889dZ,2406155,BR-RN-Jundia,221,889dZ,2414704
889fZ,2406601,BR-RN-LagoaSalgada,485,889fZ,2407807
88b3J,2401503,BR-RN-Barcelona,503,88b3J,2412609
88b5P,2412203,BR-RN-SaoJoseMipibu,258,88b5P,2414803
88b8Z,2410900,BR-RN-Riachuelo,785,88b8Z,2401602
88c0P,2512721,BR-PB-PedroRegis,497,88c0P,2507309
88c1Z,2402204,BR-RN-Canguaretama,907,88c1Z,2508901
88c2J,2507309,BR-PB-Jacarau,194,88c2J,2408300
88caJ,2412203,BR-RN-SaoJoseMipibu,455,88caJ,2403509
88e3S,2403251,BR-RN-Parnamirim,553,88e3S,2408102
8a06J,2405108,BR-RN-Jandaira,467,8a0M,2409704
8a0fP,2404101,BR-RN-Galinhos,512,8a0fP,2401859
a15fT,3505807,BR-SP-Bastos,590,a15fT,3536000
a171K,3540853,BR-SP-Pracinha,418,a17H,3529203
a17bJ,3534906,BR-SP-Pacaembu,354,a17bJ,3516002
a1c6N,3549300,BR-SP-SaoJoaoPauAlho,810,a1c6N,3531605
a1f9Y,3544509,BR-SP-Rubineia,257,a1fR,3520442
a1feP,3554904,BR-SP-TresFronteiras,286,a1feP,3546603
a379Y,5212253,BR-GO-LagoaSanta,808,a37R,5210802
a404N,3504008,BR-SP-Assis,252,a404N,3514700
