selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,2,BR-AC-RioBranco,BR-AC-RBO,2022-10-05,t
f,4,BR-AC-RioBranco,BR-Riobranco,2023-07-19,f
t,5,BR-AC-RioBranco,br;ac;rbo,2023-11-30,f
t,5,BR-AC-RioBranco,br-ac-ac,2023-11-30,f
t,5,BR-AC-RodriguesAlves,br;acre;rodrigues.alves,2023-11-30,f
t,5,BR-AC-RodriguesAlves,br-rodriguesalves,2023-11-30,f
t,5,BR-AC-RodriguesAlves,BR-1200427,2023-11-30,f
t,5,BR-AC-RodriguesAlves,br;ac;rodrigues.alves,2023-11-30,f
t,5,BR-AC-SantaRosaPurus,br;acre;santa.rosa.purus,2023-11-30,f
t,5,BR-AC-SantaRosaPurus,br;ac;santa.rosa.purus,2023-11-30,f
t,5,BR-AC-SantaRosaPurus,BR-1200435,2023-11-30,f
t,5,BR-AC-SantaRosaPurus,br-santarosapurus,2023-11-30,f
t,5,BR-AC-SenaMadureira,br-senamadureira,2023-11-30,f
t,5,BR-AC-SenaMadureira,br;acre;sena.madureira,2023-11-30,f
t,2,BR-AC-SenaMadureira,BR-AC-SMD,2022-10-05,t
t,5,BR-AC-SenaMadureira,br;ac;smd,2023-11-30,f
t,5,BR-AC-SenaMadureira,br;ac;sena.madureira,2023-11-30,f
t,5,BR-AC-SenaMadureira,BR-AC-SMD,2023-11-30,f
t,5,BR-AC-SenaMadureira,BR-1200500,2023-11-30,f
t,5,BR-AC-SenadorGuiomard,br;ac;senador.guiomard,2023-11-30,f
t,5,BR-AC-SenadorGuiomard,br;ac;swd,2023-11-30,f
t,5,BR-AC-SenadorGuiomard,br-senadorguiomard,2023-11-30,f
t,5,BR-AC-SenadorGuiomard,br;acre;senador.guiomard,2023-11-30,f
t,2,BR-AC-SenadorGuiomard,BR-AC-SWD,2022-10-05,t
t,5,BR-AC-SenadorGuiomard,BR-AC-SWD,2023-11-30,f
t,5,BR-AC-SenadorGuiomard,BR-1200450,2023-11-30,f
t,5,BR-AC-Tarauaca,br-tarauaca,2023-11-30,f
t,2,BR-AC-Tarauaca,BR-AC-TAU,2022-10-05,t
t,5,BR-AC-Tarauaca,br;ac;tarauaca,2023-11-30,f
t,5,BR-AC-Tarauaca,BR-AC-TAU,2023-11-30,f
t,5,BR-AC-Tarauaca,BR-1200609,2023-11-30,f
t,5,BR-AC-Tarauaca,br;ac;tau,2023-11-30,f
t,5,BR-AC-Tarauaca,br;acre;tarauaca,2023-11-30,f
t,5,BR-AC-Xapuri,br;ac;xpi,2023-11-30,f
t,5,BR-AC-Xapuri,br-xapuri,2023-11-30,f
t,5,BR-AC-Xapuri,br;acre;xapuri,2023-11-30,f
t,2,BR-AC-Xapuri,BR-AC-XPI,2022-10-05,t
t,5,BR-AC-Xapuri,BR-1200708,2023-11-30,f
t,5,BR-AC-Xapuri,BR-AC-XPI,2023-11-30,f
t,5,BR-AC-Xapuri,br;ac;xapuri,2023-11-30,f
t,5,BR-AL,BR-27,2023-11-30,f
t,5,BR-AL,br;alagoas,2023-11-30,f
t,5,BR-AL,br;al,2023-11-30,f
t,5,BR-AL-AguaBranca,BR-AL-ABN,2023-11-30,f
t,2,BR-AL-AguaBranca,BR-AL-ABN,2022-10-05,t
t,5,BR-AL-AguaBranca,BR-2700102,2023-11-30,f
t,5,BR-AL-AguaBranca,br;al;agua.branca,2023-11-30,f
t,5,BR-AL-AguaBranca,br;alagoas;agua.branca,2023-11-30,f
t,5,BR-AL-AguaBranca,br;al;abn,2023-11-30,f
t,5,BR-AL-Anadia,br;al;aad,2023-11-30,f
t,5,BR-AL-Anadia,br;al;anadia,2023-11-30,f
t,5,BR-AL-Anadia,br-anadia,2023-11-30,f
t,5,BR-AL-Anadia,BR-2700201,2023-11-30,f
t,5,BR-AL-Anadia,br;alagoas;anadia,2023-11-30,f
t,2,BR-AL-Anadia,BR-AL-AAD,2022-10-05,t
t,5,BR-AL-Anadia,BR-AL-AAD,2023-11-30,f
t,5,BR-AL-Arapiraca,br-arapiraca,2023-11-30,f
t,5,BR-AL-Arapiraca,br;al;arapiraca,2023-11-30,f
t,5,BR-AL-Arapiraca,br;alagoas;arapiraca,2023-11-30,f
t,2,BR-AL-Arapiraca,BR-AL-AIR,2022-10-05,t
t,5,BR-AL-Arapiraca,BR-AL-AIR,2023-11-30,f
t,5,BR-AL-Arapiraca,BR-2700300,2023-11-30,f
t,5,BR-AL-Arapiraca,br;al;air,2023-11-30,f
t,5,BR-AL-Atalaia,BR-2700409,2023-11-30,f
t,5,BR-AL-Atalaia,br;alagoas;atalaia,2023-11-30,f
t,2,BR-AL-Atalaia,BR-AL-ATL,2022-10-05,t
t,5,BR-AL-Atalaia,BR-AL-ATL,2023-11-30,f
t,5,BR-AL-Atalaia,br;al;atalaia,2023-11-30,f
t,5,BR-AL-Atalaia,br;al;atl,2023-11-30,f
t,5,BR-AL-BarraSantoAntonio,br;alagoas;barra.santo.antonio,2023-11-30,f
t,5,BR-AL-BarraSantoAntonio,BR-AL-BNA,2023-11-30,f
t,5,BR-AL-BarraSantoAntonio,BR-2700508,2023-11-30,f
t,2,BR-AL-BarraSantoAntonio,BR-AL-BNA,2022-10-05,t
t,5,BR-AL-BarraSantoAntonio,br-barrasantoantonio,2023-11-30,f
t,5,BR-AL-BarraSantoAntonio,br;al;bna,2023-11-30,f
t,5,BR-AL-BarraSantoAntonio,br;al;barra.santo.antonio,2023-11-30,f
t,2,BR-AL-BarraSaoMiguel,BR-AL-BDG,2022-10-05,t
t,5,BR-AL-BarraSaoMiguel,BR-AL-BDG,2023-11-30,f
t,5,BR-AL-BarraSaoMiguel,br;alagoas;barra.sao.miguel,2023-11-30,f
t,5,BR-AL-BarraSaoMiguel,BR-2700607,2023-11-30,f
t,5,BR-AL-BarraSaoMiguel,br;al;bdg,2023-11-30,f
t,5,BR-AL-BarraSaoMiguel,br;al;barra.sao.miguel,2023-11-30,f
t,5,BR-AL-Batalha,br;al;batalha,2023-11-30,f
t,2,BR-AL-Batalha,BR-AL-BTH,2022-10-05,t
t,5,BR-AL-Batalha,br;al;bth,2023-11-30,f
t,5,BR-AL-Batalha,BR-2700706,2023-11-30,f
t,5,BR-AL-Batalha,br;alagoas;batalha,2023-11-30,f
t,5,BR-AL-Batalha,BR-AL-BTH,2023-11-30,f
t,5,BR-AL-Belem,BR-AL-BLX,2023-11-30,f
t,5,BR-AL-Belem,br;al;belem,2023-11-30,f
t,5,BR-AL-Belem,br;alagoas;belem,2023-11-30,f
t,5,BR-AL-Belem,BR-2700805,2023-11-30,f
t,5,BR-AL-Belem,br;al;blx,2023-11-30,f
t,2,BR-AL-Belem,BR-AL-BLX,2022-10-05,t
t,5,BR-AL-BeloMonte,BR-AL-BLN,2023-11-30,f
t,5,BR-AL-BeloMonte,br;alagoas;belo.monte,2023-11-30,f
t,5,BR-AL-BeloMonte,br-belomonte,2023-11-30,f
t,5,BR-AL-BeloMonte,br;al;bln,2023-11-30,f
t,2,BR-AL-BeloMonte,BR-AL-BLN,2022-10-05,t
t,5,BR-AL-BeloMonte,BR-2700904,2023-11-30,f
t,5,BR-AL-BeloMonte,br;al;belo.monte,2023-11-30,f
t,5,BR-AL-BocaMata,BR-2701001,2023-11-30,f
t,5,BR-AL-BocaMata,BR-AL-BOD,2023-11-30,f
t,5,BR-AL-BocaMata,br;alagoas;boca.mata,2023-11-30,f
t,2,BR-AL-BocaMata,BR-AL-BOD,2022-10-05,t
t,5,BR-AL-BocaMata,br;al;boca.mata,2023-11-30,f
t,5,BR-AL-BocaMata,br;al;bod,2023-11-30,f
t,5,BR-AL-BocaMata,br-bocamata,2023-11-30,f
t,5,BR-AL-Branquinha,br-branquinha,2023-11-30,f
t,5,BR-AL-Branquinha,br;al;branquinha,2023-11-30,f
t,5,BR-AL-Branquinha,br;alagoas;branquinha,2023-11-30,f
t,2,BR-AL-Branquinha,BR-AL-BQH,2022-10-05,t
t,5,BR-AL-Branquinha,BR-AL-BQH,2023-11-30,f
t,5,BR-AL-Branquinha,BR-2701100,2023-11-30,f
t,5,BR-AL-Branquinha,br;al;bqh,2023-11-30,f
t,5,BR-AL-Cacimbinhas,br-cacimbinhas,2023-11-30,f
t,5,BR-AL-Cacimbinhas,BR-2701209,2023-11-30,f
t,5,BR-AL-Cacimbinhas,BR-AL-CBH,2023-11-30,f
t,2,BR-AL-Cacimbinhas,BR-AL-CBH,2022-10-05,t
t,5,BR-AL-Cacimbinhas,br;al;cacimbinhas,2023-11-30,f
t,5,BR-AL-Cacimbinhas,br;alagoas;cacimbinhas,2023-11-30,f
t,5,BR-AL-Cacimbinhas,br;al;cbh,2023-11-30,f
t,5,BR-AL-Cajueiro,br;alagoas;cajueiro,2023-11-30,f
t,5,BR-AL-Cajueiro,br;al;cajueiro,2023-11-30,f
t,5,BR-AL-Cajueiro,br-cajueiro,2023-11-30,f
t,5,BR-AL-Cajueiro,BR-AL-CJO,2023-11-30,f
t,2,BR-AL-Cajueiro,BR-AL-CJO,2022-10-05,t
t,5,BR-AL-Cajueiro,BR-2701308,2023-11-30,f
t,5,BR-AL-Cajueiro,br;al;cjo,2023-11-30,f
t,5,BR-AL-Campestre,BR-2701357,2023-11-30,f
t,5,BR-AL-Campestre,br;al;campestre,2023-11-30,f
t,5,BR-AL-Campestre,br;alagoas;campestre,2023-11-30,f
t,5,BR-AL-CampoAlegre,br;al;clr,2023-11-30,f
t,2,BR-AL-CampoAlegre,BR-AL-CLR,2022-10-05,t
t,5,BR-AL-CampoAlegre,br;al;campo.alegre,2023-11-30,f
t,5,BR-AL-CampoAlegre,BR-AL-CLR,2023-11-30,f
t,5,BR-AL-CampoAlegre,br;alagoas;campo.alegre,2023-11-30,f
t,5,BR-AL-CampoAlegre,BR-2701407,2023-11-30,f
t,2,BR-AL-CampoGrande,BR-AL-CGN,2022-10-05,t
t,5,BR-AL-CampoGrande,br;alagoas;campo.grande,2023-11-30,f
t,5,BR-AL-CampoGrande,BR-AL-CGN,2023-11-30,f
t,5,BR-AL-CampoGrande,BR-2701506,2023-11-30,f
t,5,BR-AL-CampoGrande,br;al;cgn,2023-11-30,f
t,5,BR-AL-CampoGrande,br;al;campo.grande,2023-11-30,f
t,5,BR-AL-Canapi,br-canapi,2023-11-30,f
t,2,BR-AL-Canapi,BR-AL-CNK,2022-10-05,t
t,5,BR-AL-Canapi,BR-2701605,2023-11-30,f
t,5,BR-AL-Canapi,br;al;cnk,2023-11-30,f
t,5,BR-AL-Canapi,br;alagoas;canapi,2023-11-30,f
t,5,BR-AL-Canapi,BR-AL-CNK,2023-11-30,f
t,5,BR-AL-Canapi,br;al;canapi,2023-11-30,f
t,2,BR-AL-Capela,BR-AL-CPA,2022-10-05,t
t,5,BR-AL-Capela,br;alagoas;capela,2023-11-30,f
t,5,BR-AL-Capela,BR-AL-CPA,2023-11-30,f
t,5,BR-AL-Capela,BR-2701704,2023-11-30,f
t,5,BR-AL-Capela,br;al;capela,2023-11-30,f
t,5,BR-AL-Capela,br;al;cpa,2023-11-30,f
t,5,BR-AL-Carneiros,BR-2701803,2023-11-30,f
t,5,BR-AL-Carneiros,br-carneiros,2023-11-30,f
t,5,BR-AL-Carneiros,BR-AL-CKN,2023-11-30,f
t,2,BR-AL-Carneiros,BR-AL-CKN,2022-10-05,t
t,5,BR-AL-Carneiros,br;alagoas;carneiros,2023-11-30,f
t,5,BR-AL-Carneiros,br;al;ckn,2023-11-30,f
t,5,BR-AL-Carneiros,br;al;carneiros,2023-11-30,f
t,5,BR-AL-ChaPreta,br;alagoas;cha.preta,2023-11-30,f
t,5,BR-AL-ChaPreta,br;al;chk,2023-11-30,f
t,5,BR-AL-ChaPreta,br-chapreta,2023-11-30,f
t,5,BR-AL-ChaPreta,br;al;cha.preta,2023-11-30,f
t,2,BR-AL-ChaPreta,BR-AL-CHK,2022-10-05,t
t,5,BR-AL-ChaPreta,BR-2701902,2023-11-30,f
t,5,BR-AL-ChaPreta,BR-AL-CHK,2023-11-30,f
t,5,BR-AL-CoiteNoia,br;al;coite.noia,2023-11-30,f
t,5,BR-AL-CoiteNoia,BR-2702009,2023-11-30,f
t,5,BR-AL-CoiteNoia,br;alagoas;coite.noia,2023-11-30,f
t,2,BR-AL-CoiteNoia,BR-AL-CYO,2022-10-05,t
t,5,BR-AL-CoiteNoia,BR-AL-CYO,2023-11-30,f
t,5,BR-AL-CoiteNoia,br;al;cyo,2023-11-30,f
t,5,BR-AL-CoiteNoia,br-coitenoia,2023-11-30,f
