isolabel_ext,status,base_intlevel,cover,overlay
BR-AL-ColoniaLeopoldina,1,75,8285P 8285Y 8285Z 8287N 8287P 8290J 8290K 8290N 8290P 8290S 8290T 8290Y 8290Z 8292J 8292K 8292N,
BR-AL-CoqueiroSeco,1,75,820fT 820fZ 8225J 8225N 8225P,
BR-AL-Coruripe,1,50,75fV 775M 80aR 820H 820R,
BR-AL-Craibas,1,75,775aZ 775bT 7770K 7770N 7770P 7770S 7770T 7770Y 7770Z 7771J 7771K 7771N 7771P 7771S 7771T 7771Y 7771Z 7772N 7773J,
BR-AL-DelmiroGouveia,1,75,772dP 772dY 772dZ 772fN 772fP 7733S 7733T 7733Y 7733Z 7738K 7738N 7738P 7738S 7738T 7738Y 7738Z 7739J 7739K 7739N 7739P 7739S 7739T 7739Y 773aJ 773aK 773aN 773aP 773aS 773bJ,
BR-AL-DoisRiachos,1,75,7766Z 7767T 776cN 776cP 776dJ 776dK 776dN 776dP 776dS 776dT 776dY 776dZ,
BR-AL-EstrelaAlagoas,1,75,7772P 7772Y 7772Z 7773K 7773P 7773S 7773T 7773Y 7773Z 7778N 7779J 7779K 7779N 7779P 7779S 7779T 7779Y 7779Z,
BR-AL-FeiraGrande,1,75,7759N 7759P 7759S 7759T 7759Y 7759Z 775bJ 775bN 775bP 775cJ 775cK 775cS 775cT 775eJ,
BR-AL-FelizDeserto,1,75,75ffP 75ffS 75ffT 75ffY 75ffZ 7755J 7755N 80aaS 80aaT,
BR-AL-Flexeiras,1,75,8227Y 8227Z 822dN 822dP 822dT 822dY 822dZ 822fJ 822fK 822fN 822fP 822fS 8232T 8238J 8238K 8238S 8238T 823aJ 823aK 823aS,
BR-AL-GirauPonciano,1,75,7758P 7758S 7758T 7758Y 7758Z 7759S 7759T 775aJ 775aK 775aN 775aP 775aS 775aT 775aY 775aZ 775bJ 775bK 775bS 775bT 7765N 7765P 7770J 7770K 7770N 7770P 7770S,
BR-AL-Ibateguara,1,75,822fT 8284N 8284P 8284Y 8284Z 8285J 8285K 8285N 8285P 8285S 8285T 8285Y 8285Z 8286N 8287J 8287K 8287N 8287P,
BR-AL-Igaci,1,75,7770Z 7771P 7771T 7771Y 7771Z 7772N 7772P 7773J 7773K 7773N 7773P 7773S 7774K 7774S 7774T 7774Z 7776J 7776K 7776N 7776P,
BR-AL-IgrejaNova,1,75,7751J 7751K 7751N 7751P 7751S 7751T 7751Y 7751Z 7753J 7753N 7753P 7753Y 7754S 7754T 7754Y 7754Z 7756J 7756K 7756N 7756P 7756S 7756Y,
BR-AL-Inhapi,1,75,773cZ 773dK 773dP 773dS 773dT 773dY 773dZ 773eK 773eN 773eP 773eS 773eT 773eY 773eZ 773fJ 773fK 773fN 773fP 773fS 773fT 773fY 773fZ,
BR-AL-JacareHomens,1,75,774eT 7761N 7761P 7761Y 7764J 7764K 7764P 7764S 7764T 7764Y 7764Z 7766J,
BR-AL-Jacuipe,1,75,8291Y 8291Z 8293N 8293P 8293Y 8294P 8294S 8294T 8294Y 8294Z 8296J 8296K 8296N 8296P 8296S,
BR-AL-Japaratinga,1,75,823eP 823eY 823eZ 823fJ 823fK 823fS 823fT 823fY,
BR-AL-Jaramataia,1,75,774fZ 7765J 7765K 7765N 7765P 7765S 7765Y 7770K 7770S 7770T,
BR-AL-JequiaPraia,1,75,8203P 8203T 8203Y 8203Z 8206S 8206T 8208J 8208K 8208N 8208P 8208Y 8208Z 8209J 8209K 8209N 8209P 8209S 8209T 8209Y 820aN 820bJ 820cJ 820cK,
