isolabel_ext,status,base_intlevel,cover,overlay
BR-MG-Araujos,1,75,b204Y b204Z b205K b205P b205S b205T b205Y b205Z b206N b207J b207K b207N b207P b207Y b212J,
BR-MG-Araxa,1,50,a71M a71V a73M a74H a74R a76H,
BR-MG-Arceburgo,1,75,a53dZ a53fN a53fP a53fY a53fZ a568T a56aJ a56aK a56aS a56aT,
BR-MG-Arcos,1,50,b0aH b0aM b0aR b0aV,
BR-MG-Areado,1,75,a578S a578T a578Y a578Z a579S a579T a579Y a579Z a57aK a57aN a57aP a57aS a57aY a57aZ a57bJ a57bK a57bN a57bP a57bS,
BR-MG-Argirita,1,75,b121J b121K b121N b121P b121Y b121Z b123N b124J b124K b124S b124T b126J,
BR-MG-Aricanduva,1,75,b3a7Z b3adN b3adP b3b2K b3b2P b3b2S b3b2T b3b2Y b3b2Z b3b3S b3b8J b3b8K b3b8N b3b8P b3b8S b3b8T b3b8Y b3baJ,
BR-MG-Arinos,1,50,addM addR addV adfH adfM adfR adfV b88R b8aH b8aR,
BR-MG-AstolfoDutra,1,75,b129K b129N b129P b129S b129T b129Y b129Z b12bJ b12bN b12bP b12cJ b12cK b12cS b12cT b12eJ,
BR-MG-Ataleia,1,50,b3cV b3dH b3dR b3dV b3eM b3fH b3fM b68R b6aH,
BR-MG-AugustoLima,1,50,b2cV b2eH b2eM,
BR-MG-Baependi,1,50,b01H b01M b01R b01V,
BR-MG-Baldim,1,75,b24fT b24fZ b264P b265J b265K b265N b265P b265S b265T b265Y b265Z b267J b267N b270J b270K b270S b270T b270Y b270Z b272J b272K b272N b272P b272S b272T b272Y b272Z b278J b278N b278P,
BR-MG-Bambui,1,50,a5fH a5fM a5fR a5fV a75H a75M,
BR-MG-Bandeira,1,75,bc89J bc89K bc89S bc89T bc89Y bc89Z bc8bJ bc8bK bc8bN bc8bP bc8bS bc8bY bc8bZ bc8cK bc8cP bc8cS bc8cT bc8cY bc8cZ bc8dS bc8dT bc8eJ bc8eK bc8eN bc8eP bc8eS bc8eT bc8eY bca1N,
BR-MG-BandeiraSul,1,75,a565K a565S a565T a565Y a565Z,
BR-MG-BaraoCocais,1,75,b0fbT b0fbY b0fbZ b0feS b0feT b251J b251N b251P b251Y b251Z b253N b253P b254J b254K b254N b254P b254S b254T b254Y b254Z b256J b256K b256N b256P,
BR-MG-BaraoMonteAlto,1,75,b138Y b139K b139P b139S b139T b139Y b139Z b13bJ b13bK b13bN b13bP b13cT b13eJ,
BR-MG-Barbacena,1,50,b06V b07R b0cM b0dH,
BR-MG-BarraLonga,1,75,b1a0Z b1a1T b1a2K b1a2N b1a2P b1a2S b1a2T b1a2Y b1a2Z b1a3J b1a3K b1a3S b1a3T b1a3Y b1a3Z b1a8J b1a8K b1a8N b1a8P b1a8S b1a8Y b1a9J b1a9K b1a9P,
BR-MG-Barroso,1,75,b06eY b06eZ b06fS b06fT b0c4N b0c5J b0c5K,
BR-MG-BelaVistaMinas,1,75,b300P b300Y b300Z b301S b301T b302J b302K b302N b302P b302S b302Y,
BR-MG-BelmiroBraga,1,75,b052Z b053S b053T b053Z b056T b058N b059J b059K b059N b059P b059S b059Y b059Z b05bN b05cJ b05cK b05cN b05cP b05cS b05cT b05cY b05cZ b05eJ,
BR-MG-BeloHorizonte,1,75,b0eeY b0eeZ b0efS b0efT b244N b244P b244Y b244Z b245J b245K b245N b245P b245S b245T b245Y b245Z b246N b246P b247J b247K b247N b247P,
BR-MG-BeloOriente,1,75,b31aZ b31bT b330J b330K b330N b330P b330S b330T b330Y b330Z b331J b331K b331N b331P b331S b331T b331Y b331Z b332N b332P b333J,
BR-MG-BeloVale,1,75,b0e1Y b0e1Z b0e3N b0e3P b0e3Y b0e4P b0e4S b0e4T b0e4Y b0e4Z b0e5K b0e5S b0e5T b0e6J b0e6K b0e6N b0e6P b0e6S b0e6T b0e6Y b0e7J b0e7K,
BR-MG-Berilo,1,50,b91R b93H b93M b93R,
BR-MG-Berizal,1,75,b9ceZ b9e1P b9e1T b9e1Y b9e1Z b9e3J b9e3N b9e3P b9e4K b9e4N b9e4P b9e4S b9e4T b9e4Y b9e4Z b9e5J b9e5K b9e5S b9e5T b9e6J b9e6K b9e6N b9e6P b9e7J b9e7K,
BR-MG-Bertopolis,1,75,bc09J bc09K bc09P bc09S bc09T bc09Y bc09Z bc0bJ bc0bK bc0bN bc0bP bc0bS bc0bT bc0bY bc0bZ bc0eS bc0eT bc21N bc21P bc21Y bc21Z bc24J bc24K bc24N bc24P bc24S bc24T,
BR-MG-Betim,1,75,b0ebS b0ebT b0ebY b0ebZ b0eeT b240P b240Y b241J b241K b241N b241P b241S b241T b241Y b241Z b243N b244J b244K b244N b244P b244S b244T b246J,
BR-MG-BiasFortes,1,75,b065K b065N b065P b065S b065T b065Y b065Z b067N b067P b067Y b070K b070P b070S b070T b070Y b070Z b072J b072K b072N b072S,
BR-MG-Bicas,1,75,b05fY b05fZ b075N b10aS b10aT b10aZ b120J b120K b120N b120P,
BR-MG-Biquinhas,1,75,b22bZ b280P b280S b280T b280Y b280Z b281J b281K b281N b281P b281S b281T b281Y b281Z b282J b282N b282P b283J b283K b283N b284J b284K b284S b284T b284Y b284Z,
BR-MG-BoaEsperanca,1,50,a5dM b02R b08H b08R,
BR-MG-BocainaMinas,1,75,b014J b014K b014P b014S b014Y b014Z b015K b015S b015T b015Y b015Z b016N b016P b016Y b017J b017K b017N b017P b017S b017Y b017Z b040S b040T b042J b042K b042S b042T eabeT,
BR-MG-Bocaiuva,1,50,b2fR b84M b84V b85H b85M b85R b85V b86M b87H b90H b90R,
BR-MG-BomDespacho,1,50,b20H b20M b20R b20V b21H b21R,
BR-MG-BomJardimMinas,1,75,b043T b048N b048P b048Y b049J b049K b049N b049P b049S b049T b049Y b049Z b04bJ b04bK b04bN b04bP b04bS b04bY b04bZ b04cJ b04cK b04cP b04cS b04cT b04cY b04cZ b04eJ,
BR-MG-BomJesusAmparo,1,75,b253P b253Y b253Z b256J b256K b256P b256S b256T b256Y b256Z b259N b259P b25cJ b25cK b25cN,
BR-MG-BomJesusGalho,1,50,b1bR b1bV b31H b31M b31R,
BR-MG-BomJesusPenha,1,75,a5c6J a5c6K a5c6N a5c6P a5c6S a5c6T a5c6Y a5c6Z a5c7J a5c7K a5c7S a5c7T a5ccN,
BR-MG-BomRepouso,1,75,a550J a550K a550N a550P a551J dffaK dffaP dffaS dffaT dffaY dffaZ dffbK dffbS dffbT,
BR-MG-BomSucesso,1,50,b09H b09M b09R b09V,
BR-MG-Bonfim,1,75,b0e2P b0e2Y b0e2Z b0e3J b0e3K b0e3N b0e3P b0e3S b0e3T b0e3Y b0e3Z b0e6S b0e6T b0e9J b0e9K b0e9N b0e9P b0ecJ b0ecK,
BR-MG-BonfinopolisMinas,1,50,ad7R ad7V adcM addH addM,
BR-MG-BonitoMinas,1,50,b8bR b8bV b8eR ba0V ba1H ba1M ba1R ba1V ba3H ba3M ba4H,
BR-MG-BordaMata,1,75,a547P a550T a550Y a550Z a551K a551P a551S a551T a551Y a552J a552K a552N a552P a552S a552T a552Y a552Z a553J a553K a553N a553P,
BR-MG-Botelhos,1,75,a564Y a564Z a565S a565T a565Z a566J a566K a566N a566P a566Y a566Z a567J a567K a567N a567P a567S a567T a567Y a567Z a572J a572K a572S a572T,
BR-MG-Botumirim,1,50,b90R b90V b92H b92M b92R b92V,
BR-MG-BrasilandiaMinas,1,50,ad5R ad5V ad7H ad7M ad7R ad7V b80R b82H b82M,
BR-MG-BrasiliaMinas,1,50,b86R b89M b8cH b8cM b8cR b8cV,
BR-MG-BrasPires,1,75,b0d7J b0d7K b0d7N b0d7P b0d7S b0d7T b0d7Y b0d7Z b0ddJ b0ddK b0ddN b0ddP b182K b182S b182T b188J b188K,
BR-MG-Braunas,1,75,b326Y b326Z b327K b327S b327T b327Y b327Z b32cN b32cP b32cY b32cZ b32dJ b32dK b32dN b32dP b32dS b32dT b32dY b32dZ b32eN b32fJ b338J b338K,
BR-MG-Brazopolis,1,75,a555N a555P b000J b000K b000N dffdP dffdY dffdZ dfffN dfffP dfffY dfffZ eaa8K eaa8S eaa8T eaaaJ eaaaK eaaaN eaaaP eaaaS eaaaT eaaaY eaaaZ,
BR-MG-Brumadinho,1,50,b0eM b0eR b0eV,
BR-MG-BuenoBrandao,1,75,a545J a545K a545N a545P a550J a550K dfedT dfedZ dfeeP dfeeY dfefJ dfefK dfefN dfefP dfefS dfefT dfefY dfefZ dffaK dffaS dffaT,
BR-MG-Buenopolis,1,50,b2eH b2eM b2eR b2eV b2fH b2fR b84M b85H,
BR-MG-Bugre,1,75,b31bP b31bT b31bY b31bZ b31eK b31eS b31eT b331J b331N b331P b331Y b334J b334K,
BR-MG-Buritis,1,50,adeH adeM adeR adeV adfH adfR af4H af4M af4R af4V af5H af5R,
BR-MG-Buritizeiro,1,50,b2aM b2aV b2bR b80H b80M b80R b80V b81H b81R b81V b82H b82M b82V b83H b83M b83R,
BR-MG-CabeceiraGrande,1,50,ad9V adbM adcR adeH,
BR-MG-CaboVerde,1,75,a566Y a566Z a567S a567T a567Y a567Z a56cN a56cP a56cY a56dJ a56dK a56dN a56dP a56dS a56dT a56dY a56dZ a56fN a578K a578S a578T a578Y,
BR-MG-CachoeiraDourada,1,75,a69dN a69dP a69dY a69dZ a69fN a6c2T a6c2Y a6c2Z a6c8J a6c8K a6c8N a6c8P a6c8S a6c8T a6c9J a6caJ,
BR-MG-CachoeiraMinas,1,75,a554J a554K a554N a554P a554Y a554Z a555J a555K a555N a555P a555S a555T a555Y a555Z dffeS dffeT dffeY dffeZ dfffT dfffZ,
BR-MG-CachoeiraPajeu,1,50,b9cM b9cV b9dH b9dR,
BR-MG-CachoeiraPrata,1,75,b21fN b21fP b21fY b24aJ b24aK b24aS,
BR-MG-Caetanopolis,1,75,b260J b260K b260N b260P b260S b260T b260Y b260Z b261J b261K b262J,
BR-MG-Caete,1,50,b0fR b25H b25M,
BR-MG-Caiana,1,75,b19dN b19dP b19dY b19dZ b1c8J b1c8K b1c8S b1c8T,
BR-MG-Cajuri,1,75,b18cJ b18cK b18cN b18cP b18cS b18cY b18dJ b18dK,
BR-MG-Caldas,1,50,a54V a55R a56M a57H,
BR-MG-Camacho,1,75,b08eY b08eZ b08fN b08fP b08fS b08fT b08fY b08fZ b09aK b09aS b09aT b0a5J b0a5K b0a5N b0a5P b0b0J,
BR-MG-Camanducaia,1,75,dff0Y dff0Z dff1S dff1T dff1Z dff2J dff2K dff2N dff2P dff2S dff2T dff2Y dff2Z dff3J dff3K dff3N dff3P dff3S dff3T dff3Y dff3Z dff6T dff8N dff8P dff9J dff9K dff9N dffcJ,
BR-MG-Cambui,1,75,dff8P dff8Y dff8Z dff9J dff9K dff9P dff9S dff9T dff9Y dff9Z dffaN dffaP dffbJ dffbK dffbN dffbP dffeJ,
BR-MG-Cambuquira,1,75,b00bN b00bP b00bY b00bZ b00eJ b00eK b00eN b00eP b00eS b00eT b00eY b00eZ b00fK b00fS b00fT b024J b024N b025J,
BR-MG-Campanario,1,75,b3c8Y b3c8Z b3c9J b3c9K b3c9N b3c9P b3c9S b3c9T b3c9Y b3c9Z b3cbJ b3cbK b3cbN b3cbP b3cbY b3cbZ b3ccS b3ccT b3ccZ b3ceJ b3ceK b3ceN b3ceP b3ceS b3ceT b3ceY,
BR-MG-Campanha,1,75,b009T b009Z b00bJ b00bK b00bN b00bP b00bS b00bT b00bY b00bZ b00eJ b00eK b00eS b00eT b021J b021N b021P b021Y b021Z b024J b024K b024S,
BR-MG-Campestre,1,50,a55R a56M a57H,
BR-MG-CampinaVerde,1,50,a60V a61R a61V a62M a62V a63H a63M a63R a64R a66H a66R,
BR-MG-CampoAzul,1,75,b83bP b83bY b83bZ b83cZ b83eJ b83eK b83eN b83eP b83eS b83eT b83eY b83eZ b83fK b83fS b83fT b83fY b83fZ b86aT b894J b894N b894P b894Y b895J b895K b895N b895P b895S b895T b895Y b8c0J,
BR-MG-CampoBelo,1,75,b084T b086J b086K b086N b086P b086S b086T b086Y b086Z b087K b087S b087T b087Z b089N b089P b08cJ b08cK b08cN b08cP b08cS b08cY b08dJ b08dK b08dN b08dP b08dS b08dY,
BR-MG-CampoFlorido,1,50,a65H a65M a65R a65V,
BR-MG-CampoMeio,1,75,a5d4K a5d4P a5d4S a5d4T a5d4Y a5d4Z a5d5K a5d5P a5d5S a5d5T a5d5Y a5d5Z a5d6J a5d6N a5d6P a5d7J b080S,
BR-MG-CamposAltos,1,50,a75H a75R a77H,
BR-MG-CamposGerais,1,50,a57V a5dM b02R b08H,
BR-MG-Canaa,1,75,b18dK b18dP b18dS b18dT b18dY b18dZ b18fJ b18fK b18fN b18fP b18fS b18fY,
BR-MG-Canapolis,1,50,a66R a6cH a6cM a6cR,
BR-MG-CanaVerde,1,75,b084P b084Y b084Z b085K b085S b085T b086N b086P b087J b087K b087N b087P b087S b087T b087Y b087Z,
BR-MG-Candeias,1,50,b08R b08V b09R,
BR-MG-Cantagalo,1,75,b387N b387P b387Y b387Z b38dN b38dP b392J b392K b392S b392T b398J b398K,
BR-MG-Caparao,1,75,b19fS b19fT b19fY b19fZ b1b5J b1b5N b1caK b1caS b1caT b1e0J,
BR-MG-CapelaNova,1,75,b0d2P b0d2Y b0d2Z b0d3K b0d3P b0d3S b0d3T b0d3Y b0d3Z b0d9J,
BR-MG-Capelinha,1,50,b3aV b3bH b3bR b3bV b90M b91H,
BR-MG-Capetinga,1,75,a59fN a59fP a59fS a59fT a59fY a59fZ a5b4Y a5b4Z a5b5J a5b5K a5b5N a5b5P a5b5S a5b5T a5b5Y a5b5Z a5caJ a5caK a5caS a5caT,
BR-MG-CapimBranco,1,75,b249P b249Y b249Z b24bN b24cS b24cT b24eJ,
BR-MG-Capinopolis,1,75,a696P a696Y a696Z a697J a697K a697N a697P a697S a697T a697Y a697Z a69cN a69cP a69dJ a69dK a69dN a69dP a69dS a69dY a69dZ a6c0T a6c0Z a6c2J a6c2K a6c2N a6c2P a6c2S a6c2T a6c2Y a6c2Z a6c8J,
BR-MG-CapitaoAndrade,1,75,b362P b362T b362Y b362Z b363K b363P b363S b363T b363Y b363Z b368J b368K b368N b368P b369J b369K b369N b369P,
BR-MG-CapitaoEneas,1,50,b8dH b8dM b8dR b8dV b8fM,
BR-MG-Capitolio,1,75,a5daT a5daY a5daZ a5dbS a5dbT a5dbY a5dbZ a5deS a5deT a5f0J a5f0K a5f0N a5f0P a5f0S a5f0T a5f0Y a5f0Z a5f1J a5f1K a5f1N a5f1P a5f1S a5f1Y a5f4J a5f4K a5f4S,
BR-MG-Caputira,1,75,b1b3Y b1b3Z b1b6S b1b6T b1b9N b1b9P b1b9Y b1b9Z b1bcJ b1bcK b1bcS b1bcT,
BR-MG-Carai,1,50,b94H b94M b94R b94V b95H b95R,
BR-MG-Caranaiba,1,75,b0c7Y b0c7Z b0d2K b0d2P b0d2S b0d2T b0d2Y b0d2Z b0d3T b0d8J b0d8N b0d9J,
BR-MG-Carandai,1,75,b0c4Z b0c5K b0c5P b0c5S b0c5T b0c5Y b0c5Z b0c6N b0c6P b0c7J b0c7K b0c7N b0c7P b0c7S b0c7T b0c7Y b0c7Z b0d0S b0d0T b0d0Z b0d2J b0d2K b0d2N b0d2P b0d2S b0d2T b0d2Y,
BR-MG-Carangola,1,75,b196T b199P b199Y b199Z b19cJ b19cK b19cP b19cS b19cT b19cY b19cZ b19dJ b19dK b19dN b19dP b19dS b19dT b19dY b19dZ b19eN b19eP b19fJ b19fK b19fN b19fP,
BR-MG-Caratinga,1,50,b1bV b31M b31R b31V b34H b34R,
BR-MG-Carbonita,1,50,b3aR b3aV b90H b90M b90R,
BR-MG-Careacu,1,75,a557Y a557Z a55dJ a55dN a55dP a55dY a55dZ b002S b002T b008J b008K b008S b008T,
BR-MG-CarlosChagas,1,50,b3fH b3fM b3fR b3fV b6aH b6aR b95M bc0H,
BR-MG-Carmesia,1,75,b277Y b277Z b27dN b322S b322T b322Y b322Z b323T b328J b328K b328N b328P b328S b328Y b329J b329K,
BR-MG-CarmoCachoeira,1,75,b026S b026T b026Y b026Z b027S b027T b027Y b027Z b029N b029P b02cJ b02cK b02cN b02cP b02cS b02cT b02cY b02cZ b02dJ b02dK b02dN b02dP b02dS b02dT b02dY b02dZ b02fJ b02fN b038J b038K b038S,
BR-MG-CarmoCajuru,1,75,b0b6T b0b6Z b0b9Y b0b9Z b0bbN b0bbP b0bbS b0bbY b0bcJ b0bcK b0bcN b0bcP b0bcS b0bcT b0bcY b0bcZ b0bdJ b0bdK b0bdS b0bdT b0beJ b0beK b0beN b0beP b0beS,
BR-MG-CarmoMata,1,75,b09aZ b09bS b09bT b09bZ b09eT b0b0J b0b0K b0b0N b0b0P b0b0S b0b0T b0b0Y b0b0Z b0b1J b0b1K b0b1N b0b1P b0b1S b0b1T b0b1Y b0b4J,
BR-MG-CarmoMinas,1,75,b006P b006Y b006Z b007K b007P b007S b007T b007Y b007Z b00cJ b00cN b00cP b00cY b00cZ b00dJ b00dK b00dN b00dP b00dS b00dT,
BR-MG-CarmoParanaiba,1,50,a76V a77R a77V a7cM a7dH a7dM,
BR-MG-CarmopolisMinas,1,75,b09eK b09eP b09eS b09eT b09eY b09eZ b09fS b09fT b0b1N b0b1P b0b4J b0b4K b0b4N b0b4P b0b4S b0b4T b0b4Y b0b4Z b0b5J b0b5K b0b5S b0b5T b0b6N b0b6P b0b7J,
BR-MG-CarmoRioClaro,1,50,a5cM a5cV a5dH a5dM a5dR a5dV,
BR-MG-Carneirinho,1,50,a35M a35V a37M a60H a60R a62H,
BR-MG-Carrancas,1,50,b03H b03M b03R b03V,
BR-MG-Carvalhopolis,1,75,a55fT a574N a574P a574Y a575J a575K a575S,
BR-MG-Carvalhos,1,75,b017S b017T b017Y b017Z b01cN b01cP b01cY b01dJ b01dK b01dN b01dP b01dS b01dT b01dY b01dZ b01fJ b01fN b048S b048T,
BR-MG-CasaGrande,1,75,b0c6Z b0c7S b0c7T b0ccN b0ccP b0ccY b0cdJ b0cdK b0cdN b0cdS b0cdT,
BR-MG-CascalhoRico,1,75,a783Z a786S a786T a786Y a786Z a787T a789N a789P a789Y a78cJ a78cK a78cN a78cP a78cS a78cT a78cY a78cZ a78dJ a78dK a78dS a78dT a78eJ a78eN,
BR-MG-Cassia,1,50,a59V a5bM a5cR a5eH a5eR,
BR-MG-Cataguases,1,75,b126T b126Z b127T b127Z b12cJ b12cK b12cN b12cP b12cS b12cT b12cY b12cZ b12dJ b12dK b12dN b12dP b12dS b12dT b12dY b12dZ b12eJ b12eK b12eN b12eP b12fJ b12fK b12fN b138S,
BR-MG-CatasAltas,1,75,b0fbN b0fcT b0fcZ b0fdT b0feJ b0feK b0feN b0feP b0feS b0feY b0feZ b0ffJ b0ffK b0ffS b0ffT,
BR-MG-CatasAltasNoruega,1,75,b0d9Z b0dbN b0dbP b0dbY b0dbZ b0dcT b0deJ b0deK b0deS,
BR-MG-Catuji,1,75,b944Y b944Z b945K b945P b945S b945T b945Y b945Z b946N b946Z b947J b947K b947N b947P b947S b947T b947Y b94cN b950T b950Z b952J b952K b952N b952P b952S b952Y,
BR-MG-Catuti,1,75,b9a9Z b9abK b9abN b9abP b9abS b9abT b9abY b9abZ b9acS b9acT b9aeJ b9aeK b9aeN b9aeP b9aeS b9aeT b9aeY bb00N bb01J bb01K bb01N,
BR-MG-Caxambu,1,75,b018J b018K b018N b018P b018S b018T b018Y b018Z b01aJ b01aK b01aN,
BR-MG-CedroAbaete,1,75,a777Y a777Z a77dN a77dP b222S b222T b222Y b222Z b228J b228K b228N b228P b228S b228T b228Y b228Z b229J b22aJ b22aN,
BR-MG-Centralina,1,75,a6c3Z a6c6N a6c6P a6c6S a6c6T a6c6Y a6c6Z a6c7J a6c7K a6c7S a6c7T a6c9N a6c9P a6c9Y a6c9Z a6ccJ a6ccK a6ccN a6ccP a6ccS a6ccT a6ccY,
BR-MG-CentralMinas,1,75,b36fY b36fZ b378Z b37aJ b37aK b37aN b37aP b37aS b37aT b37aY b37aZ b37bT b3d0J b3d0N b3d1J,
BR-MG-Chacara,1,75,b05fT b05fZ b075J b075K b075N b075P b075S b075Y b075Z b120J b120K,
BR-MG-Chale,1,75,b1e9S b1e9T b1e9Y b1e9Z b1ebJ b1ebK b1ebN b1ebP b1ebS b1ebY b1ecT b1eeJ b1eeK b1eeP,
BR-MG-ChapadaGaucha,1,50,b8aH b8aM b8aR b8aV b8bH b8bR ba0H ba0M ba0R ba0V,
BR-MG-ChapadaNorte,1,50,b91M b91R b91V b93H,
BR-MG-Chiador,1,75,b057P b057Y b057Z b05dN b05dP b102S b102T b102Y b102Z b108J b108K b108N b108P b108Y b109J b109K b109S b109T b109Z b10bN,
BR-MG-Cipotanea,1,75,b0d6J b0d6K b0d6N b0d6P b0d6S b0d6Y b0d6Z b0d7J b0d7K b0d7S b0d7T,
BR-MG-Claraval,1,75,a5b3Y a5b3Z a5b6J a5b6K a5b6P a5b6S a5b6T a5b6Y a5b6Z a5b9N a5bcJ a5bcK a5bcN a5bcP a5bcS a5bcT a5bcY a5bcZ a5beJ,
BR-MG-ClaroPocoes,1,50,b84R b84V b86H b86M,
BR-MG-Claudio,1,75,b0b1P b0b1S b0b1T b0b1Y b0b1Z b0b3J b0b3K b0b3N b0b3P b0b3S b0b3T b0b3Y b0b3Z b0b4K b0b4S b0b4T b0b4Z b0b6J b0b6K b0b6N b0b6P b0b6S b0b6T b0b6Y b0b6Z b0b9J b0b9K b0b9N b0b9P b0bcJ b0bcK,
BR-MG-Coimbra,1,75,b183Y b183Z b186S b186T b186Y b186Z b189N b18cJ b18cN,
BR-MG-Coluna,1,75,b38cY b38cZ b38dS b38dT b38eK b38eN b38eP b38eS b38eT b38eY b38eZ b38fJ b38fK b38fN b38fP b38fS b38fT b3a4J b3a4N b3a4P b3a4Y b3a5J,
BR-MG-ComendadorGomes,1,50,a64R a64V a65R,
BR-MG-Comercinho,1,50,b96V b9cH b9cM,
BR-MG-ConceicaoAlagoas,1,50,a4fV a5aR a65H a65M a65V a70H,
BR-MG-ConceicaoAparecida,1,75,a5c5Z a5c7N a5c7P a5c7Y a5d0K a5d0P a5d0S a5d0T a5d0Y a5d0Z a5d1K a5d1S a5d1T a5d1Y a5d1Z a5d2J a5d2K a5d2N a5d2P a5d2S a5d2Y a5d3J a5d3K,
BR-MG-ConceicaoBarraMinas,1,75,b03fS b03fT b03fY b03fZ b095J b095K b095N b095P b095S b095T b095Y b095Z b0c0J b0c0K b0c0S b0c0T,
BR-MG-ConceicaoIpanema,1,75,b1eaP b1eaY b1eaZ b1ebK b1ebS b1ebT b1ebY b1ebZ b1eeS b1eeT b341J b341N b341P b341Y b344J b344K b344S,
BR-MG-ConceicaoMatoDentro,1,50,b27H b27M b27R b27V b2dH b2dM b32H,
BR-MG-ConceicaoOuros,1,75,a554N a555J a555N dffeK dffeP dffeS dffeY dffeZ dfffK dfffP dfffS dfffT dfffY dfffZ,
BR-MG-ConceicaoPara,1,75,b211Z b212Y b212Z b213J b213K b213N b213P b213S b213T b213Y b213Z b214T b216J b216K b216S b218N b219J b219K b219N,
BR-MG-ConceicaoPedras,1,75,b002P b002Y b002Z b003K b003P b003S b003T b003Y b003Z b006T b009N,
BR-MG-ConceicaoRioVerde,1,75,b00cY b00cZ b00dS b00dT b00dY b00dZ b00eN b00eP b00fJ b00fK b00fN b00fP b00fS b00fT b00fY b00fZ b018T b01aJ b01aK b01aS b01aT b025J b025N b030J,
BR-MG-ConegoMarinho,1,50,b8eR ba1M ba1V ba3M ba4H ba4R ba6H,
BR-MG-Confins,1,75,b24dJ b24dK b24dS,
BR-MG-Congonhal,1,75,a553K a553P a553S a553T a553Y a553Z a556T a559J a559K a559N a559P a559S a559Y a55cJ,
BR-MG-Congonhas,1,75,b0cfT b0cfY b0cfZ b0daT b0e4P b0e4Y b0e5J b0e5K b0e5N b0e5P b0e5S b0e5T b0e5Y b0e5Z b0e7J b0e7N b0f0J b0f0K b0f0N b0f0P b0f0S b0f0T,
BR-MG-CongonhasNorte,1,50,b27R b2dH,
BR-MG-Conquista,1,50,a70M a70V a71H a71R,
BR-MG-ConselheiroLafaiete,1,75,b0cdY b0cdZ b0cfK b0cfN b0cfP b0cfS b0cfT b0cfY b0cfZ b0d8K b0d8S b0d8T b0d8Z b0daJ b0daK b0daN b0daP b0daS b0daT b0daY b0daZ b0f0J,
BR-MG-ConselheiroPena,1,50,b34R b34V b36H b36M b36V b37H b37R,
BR-MG-Consolacao,1,75,dffcS dffcT dffcZ dffeJ dffeK dffeN dffeP dffeS dffeY,
BR-MG-Contagem,1,75,b241Y b243N b244J b244K b244N b244P b244S b244T b244Y b244Z b246J b246K b246N,
BR-MG-Coqueiral,1,75,b02bP b02bT b02bY b02bZ b02eS b02eT b080P b081J b081K b081N b081P b081S b081Y b081Z b084J b084K b084S b084T b086J,
BR-MG-CoracaoJesus,1,50,b83M b83V b86H b86R b86V b87R b8cH b8cM,
BR-MG-Cordisburgo,1,50,b26H b26M b26R b26V,
BR-MG-Cordislandia,1,75,a55fS a55fT a55fY a55fZ a575N a575P a575Y a575Z b00aS b00aT b020J b020K b020N b020P b020S,
BR-MG-Corinto,1,50,b29H b29M b29R b29V b2bM b2bV b2cH b2cR b2eH b2eR,
BR-MG-Coroaci,1,75,b391N b391P b391T b391Y b391Z b393J b393K b393N b393P b393S b393Y b394J b394K b394N b394P b394S b394T b394Y b394Z b395S b395T b395Z b396J b396K b396N b396P b396S b397J b397K b397N b397P,
BR-MG-Coromandel,1,50,a79H a79M a79R a79V a7bH a7bM a7bV a7cH a7cR a7eH,
BR-MG-CoronelFabriciano,1,75,b30dT b30dY b30dZ b30eP b30eY b30eZ b30fJ b30fK b30fN b30fP b30fS b30fT b318S b318T b31aJ b325J,
BR-MG-CoronelMurta,1,50,b93M b93V b96H b96R,
BR-MG-CoronelPacheco,1,75,b074Y b074Z b075S b075T b075Z b076N b077J b077K,
BR-MG-CoronelXavierChaves,1,75,b0c0Y b0c0Z b0c1S b0c1T b0c1Y b0c1Z b0c2N b0c3J b0c3K b0c3N b0c3P b0c3Y,
BR-MG-CorregoBomJesus,1,75,dff9J dff9K dff9N dff9P dff9Y dff9Z dffbN dffcJ dffcK dffcS dffcT dffeJ,
BR-MG-CorregoDanta,1,50,a75H a75M a75R a75V,
BR-MG-CorregoFundo,1,75,b0a0Z b0a1S b0a1T b0a2N b0a2P b0a2Y b0a3J b0a3K b0a3S,
BR-MG-CorregoNovo,1,75,b310J b310K b310N b310P b310S b310T b310Y b310Z b311S b311T b311Z b312N b313J,
BR-MG-CoutoMagalhaesMinas,1,50,b2dV b2fM b2fV b38R,
BR-MG-Crisolita,1,50,b95H b95M b95R b95V bc0H bc0R,
BR-MG-Cristais,1,75,a5ddZ a5dfN a5dfP b082Z b083T b088K b088N b088P b088S b088T b088Y b088Z b089J b089K b089N b089P b089S b089T b089Y b089Z b08aJ b08aK b08aN b08aP b08aS b08aY b08bJ b08bK b08bN b08bS,
BR-MG-Cristalia,1,50,b92M b92V b93H b93R,
BR-MG-CristianoOtoni,1,75,b0c7T b0c7Z b0cdJ b0cdK b0cdN b0cdP b0cdS b0cdY b0d2T b0d8J b0d8K b0d8S,
BR-MG-Cristina,1,75,b001Z b003N b003P b003Y b003Z b004S b004T b004Y b004Z b006J b006K b006N b006P b006S b006T b006Y b006Z b007J b007K,
BR-MG-Crucilandia,1,75,b0e0S b0e0T b0e0Y b0e0Z b0e2J b0e2K b0e2N b0e2P b0e2S b0e2Y b0e2Z b0e3J b0e3K,
